hub,intervention_type,donor,report_date,distribution_date,planned_implemented,implementing_partner,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,community,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,longitude_x,latitude_y,location_pcode,abbreviation
NWS,Earthquake,ECHO,2023-02-14T00:00:00Z,2023-02-20T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,One Off Distribution,30,150,USD,170,850,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Hamama - Kafr Debbin,In the Camp,Reef Halab,NA,SY07,SY0704,SY070403,C4267,36.357168,35.923269,NA,ACTED
NWS,Earthquake,ECHO,2023-02-14T00:00:00Z,2023-02-20T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,One Off Distribution,30,150,USD,51,255,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,In the Village,Sheikh sayyah,NA,SY07,SY0704,SY070403,C4263,36.234349,35.941613,NA,ACTED
NWS,Earthquake,Mercy Without Limits (MWL),2023-02-14T00:00:00Z,2023-02-20T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,150,750,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),In the Village,NA,NA,SY02,SY0203,SY020300,C1366,36.865523,36.511094,NA,ACTED
NWS,Earthquake,CARE International,2023-02-16T00:00:00Z,2023-02-21T00:00:00Z,Implemented,Shafak Organization (SO),Cash Response,One Off Distribution,30,130,USD,2000,10000,Yes,Idleb,Harim,Dana,Atma,In the Village,NA,NA,SY07,SY0703,SY070301,C4130,36.689846,36.309771,NA,SO
NWS,Earthquake,GOAL,2023-02-20T00:00:00Z,2023-02-21T00:00:00Z,Implemented,GOAL (GOAL),Cash Response,NA,30,150,USD,337,1685,N/A,Idleb,Harim,Salqin,Azmarin,In the Village,NA,NA,SY07,SY0703,SY070302,C4143,36.401422,36.055985,NA,GOAL
NWS,Earthquake,GOAL,2023-02-20T00:00:00Z,2023-02-21T00:00:00Z,Implemented,GOAL (GOAL),Cash Response,NA,30,150,USD,1200,6000,N/A,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,36.453694,36.139048,NA,GOAL
NWS,Earthquake,GOAL,2023-02-20T00:00:00Z,2023-02-21T00:00:00Z,Implemented,GOAL (GOAL),Cash Response,NA,30,150,USD,85,425,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,36.689563,36.392488,NA,GOAL
NWS,Earthquake,Whh,2023-02-16T00:00:00Z,2023-02-21T00:00:00Z,Planned,Shafak Organization (SO),Cash Response,One Off Distribution,30,150,USD,550,2750,Yes,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,36.520746,36.212594,NA,SO
NWS,Earthquake,BHA,2023-02-19T00:00:00Z,2023-02-22T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,150,USD,30,150,N/A,Aleppo,Afrin,Jandairis,Tal Slur,In the Village,NA,NA,SY02,SY0203,SY020302,C1433,36.722157,36.365517,NA,IYD
NWS,Earthquake,BHA,2023-02-19T00:00:00Z,2023-02-22T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,150,USD,8,40,N/A,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,36.689563,36.392488,NA,IYD
NWS,Earthquake,BHA,2023-02-19T00:00:00Z,2023-02-22T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,150,USD,10,50,N/A,Aleppo,Afrin,Jandairis,Kafr Safra,In the Village,NA,NA,SY02,SY0203,SY020302,C1449,36.66183,36.427593,NA,IYD
NWS,Earthquake,BHA,2023-02-19T00:00:00Z,2023-02-22T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,150,USD,10,50,N/A,Aleppo,Afrin,Jandairis,Sheikh Abel Rahman,In the Village,NA,NA,SY02,SY0203,SY020302,C1419,36.763546,36.431499,NA,IYD
NWS,Earthquake,BHA,2023-02-19T00:00:00Z,2023-02-22T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,150,USD,11,55,N/A,Aleppo,Afrin,Jandairis,Mhamadia,In the Village,NA,NA,SY02,SY0203,SY020302,C8135,36.681836,36.347197,NA,IYD
NWS,Earthquake,BHA,2023-02-19T00:00:00Z,2023-02-22T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,150,USD,15,75,N/A,Aleppo,Afrin,Jandairis,Abu Ka'ab,In the Village,NA,NA,SY02,SY0203,SY020302,C8151,36.740602,36.386379,NA,IYD
